# packages in environment at C:\Users\mmaresch\miniconda3\envs\py313_win_intel_multi:
#
# Name                                       Version          Build               Channel
ipython                                      9.17.1           pypi_0              pypi
ipython-genutils                             0.2.0            pypi_0              pypi
ipython-pygments-lexers                      1.1.1            pypi_0              pypi
isoduration                                  20.11.0          pypi_0              pypi
itsdangerous                                 2.2.0            pypi_0              pypi
jaraco-context                               6.1.2            pypi_0              pypi
jaraco-functools                             4.6.0            pypi_0              pypi
jaraco-text                                  4.3.0            pypi_0              pypi
jax                                          0.11.2           pypi_0              pypi
jaxlib                                       0.11.2           pypi_0              pypi
jedi                                         0.20.0           pypi_0              pypi
jh2                                          5.0.15           pypi_0              pypi
jinja2                                       3.1.6            pypi_0              pypi
jinxed                                       2.1.0            pypi_0              pypi
jiter                                        0.17.0           pypi_0              pypi
joblib                                       1.6.0            pypi_0              pypi
joserfc                                      1.7.5            pypi_0              pypi
json-numpy                                   2.1.1            pypi_0              pypi
json5                                        0.15.0           pypi_0              pypi
jsonpatch                                    1.33             pypi_0              pypi
jsonpath-python                              1.1.6            pypi_0              pypi
jsonpointer                                  3.1.1            pypi_0              pypi
jsonschema                                   4.26.0           pypi_0              pypi
jsonschema-specifications                    2025.9.1         pypi_0              pypi
jupyter-builder                              1.2.3            pypi_0              pypi
jupyter-client                               8.10.0           pypi_0              pypi
jupyter-contrib-core                         0.4.2            pypi_0              pypi
jupyter-contrib-nbextensions                 0.7.0            pypi_0              pypi
jupyter-core                                 5.9.1            pypi_0              pypi
jupyter-events                               0.12.1           pypi_0              pypi
jupyter-highlight-selected-word              0.2.0            pypi_0              pypi
jupyter-lsp                                  2.3.1            pypi_0              pypi
jupyter-nbextensions-configurator            0.6.4            pypi_0              pypi
jupyter-server                               2.21.1           pypi_0              pypi
jupyter-server-terminals                     0.5.4            pypi_0              pypi
jupyterlab                                   4.6.4            pypi_0              pypi
jupyterlab-pygments                          0.3.0            pypi_0              pypi
jupyterlab-server                            2.28.1           pypi_0              pypi
kfp                                          2.17.0           pypi_0              pypi
kfp-pipeline-spec                            2.17.0           pypi_0              pypi
kfp-server-api                               2.17.0           pypi_0              pypi
kiwisolver                                   1.5.1            pypi_0              pypi
kubernetes                                   30.1.0           pypi_0              pypi
lance-namespace                              0.11.1           pypi_0              pypi
lance-namespace-urllib3-client               0.11.1           pypi_0              pypi
lancedb                                      0.39.0           pypi_0              pypi
langchain                                    1.4.2            pypi_0              pypi
langchain-classic                            1.0.8            pypi_0              pypi
langchain-community                          0.4.2            pypi_0              pypi
langchain-core                               1.6.4            pypi_0              pypi
langchain-openai                             1.6.3            pypi_0              pypi
langchain-protocol                           0.0.19           pypi_0              pypi
langchain-text-splitters                     1.1.2            pypi_0              pypi
langgraph                                    1.2.12           pypi_0              pypi
langgraph-checkpoint                         4.2.0            pypi_0              pypi
langgraph-prebuilt                           1.1.0            pypi_0              pypi
langgraph-sdk                                0.4.5            pypi_0              pypi
langsmith                                    0.14.0           pypi_0              pypi
lark                                         1.3.1            pypi_0              pypi
lazy-loader                                  0.6              pypi_0              pypi
libexpat                                     2.8.4            hd7fb8db_0
libffi                                       3.4.8            h42d73b9_3
libmpdec                                     4.0.1            h1c6eee0_0
librt                                        0.15.0           pypi_0              pypi
libzlib                                      1.3.2            h1c6eee0_0
lightning                                    2.6.6            pypi_0              pypi
lightning-utilities                          0.15.3           pypi_0              pypi
llama-cloud                                  0.1.46           pypi_0              pypi
llama-index-instrumentation                  0.6.0            pypi_0              pypi
llama-index-legacy                           0.9.48.post4     pypi_0              pypi
llama-index-workflows                        2.24.1           pypi_0              pypi
llamaindex-py-client                         0.1.19           pypi_0              pypi
llvmlite                                     0.49.0           pypi_0              pypi
lmdb                                         2.3.0            pypi_0              pypi
lxml                                         6.1.3            pypi_0              pypi
mako                                         1.4.1            pypi_0              pypi
markdown                                     3.10.3           pypi_0              pypi
markdown-it-py                               4.2.0            pypi_0              pypi
markupsafe                                   3.0.3            pypi_0              pypi
marshmallow                                  3.26.2           pypi_0              pypi
matplotlib                                   3.11.2           pypi_0              pypi
matplotlib-inline                            0.2.2            pypi_0              pypi
mccabe                                       0.7.0            pypi_0              pypi
mcp                                          2.2.0            pypi_0              pypi
mcp-types                                    2.2.0            pypi_0              pypi
mdurl                                        0.1.2            pypi_0              pypi
mistralai                                    2.10.1           pypi_0              pypi
mistune                                      3.3.4            pypi_0              pypi
mkl                                          2026.1.0         pypi_0              pypi
ml-dtypes                                    0.6.0            pypi_0              pypi
mmh3                                         5.3.0            pypi_0              pypi
monotonic                                    1.6              pypi_0              pypi
more-itertools                               11.1.0           pypi_0              pypi
mplfinance                                   0.12.10b0        pypi_0              pypi
mpmath                                       1.3.0            pypi_0              pypi
msal                                         1.39.0           pypi_0              pypi
msal-extensions                              1.3.1            pypi_0              pypi
multidict                                    6.9.1            pypi_0              pypi
multiprocess                                 0.70.19          pypi_0              pypi
multitasking                                 0.0.13           pypi_0              pypi
mypy                                         2.3.1            pypi_0              pypi
mypy-extensions                              1.1.0            pypi_0              pypi
nab                                          0.0.18           pypi_0              pypi
nab-index                                    0.0.18           pypi_0              pypi
nab-markersets                               0.0.18           pypi_0              pypi
nab-project                                  0.0.18           pypi_0              pypi
nab-provider                                 0.0.18           pypi_0              pypi
nab-resolver                                 0.0.18           pypi_0              pypi
narwhals                                     2.26.0           pypi_0              pypi
nbclient                                     0.11.0           pypi_0              pypi
nbconvert                                    7.17.1           pypi_0              pypi
nbformat                                     5.11.1           pypi_0              pypi
nest-asyncio                                 1.6.0            pypi_0              pypi
nest-asyncio2                                1.7.2            pypi_0              pypi
networkx                                     3.7              pypi_0              pypi
niquests                                     3.21.1           pypi_0              pypi
nltk                                         3.10.3           pypi_0              pypi
nodeenv                                      1.10.0           pypi_0              pypi
notebook                                     7.6.3            pypi_0              pypi
notebook-shim                                0.2.4            pypi_0              pypi
numba                                        0.67.0           pypi_0              pypi
numkong                                      7.8.2            pypi_0              pypi
numpy                                        2.5.3            pypi_0              pypi
numpy-typing-compat                          20260602.2.5     pypi_0              pypi
oauthlib                                     3.3.1            pypi_0              pypi
ollama                                       0.6.2            pypi_0              pypi
omegaconf                                    2.3.1            pypi_0              pypi
onemkl-license                               2026.1.0         pypi_0              pypi
onnxruntime                                  1.30.0           pypi_0              pypi
openai                                       2.54.0           pypi_0              pypi
opencv-contrib-python                        5.0.0.93         pypi_0              pypi
opencv-python                                5.0.0.93         pypi_0              pypi
opencv-python-headless                       5.0.0.93         pypi_0              pypi
openinference-instrumentation                0.1.65           pypi_0              pypi
openinference-instrumentation-langchain      0.1.76           pypi_0              pypi
openinference-instrumentation-llama-index    4.5.2            pypi_0              pypi
openinference-instrumentation-openai         0.1.60           pypi_0              pypi
openinference-semantic-conventions           0.1.38           pypi_0              pypi
openmeteo-requests                           1.7.5            pypi_0              pypi
openmeteo-sdk                                1.28.0           pypi_0              pypi
openssl                                      3.5.8            hbb43b14_0
opentelemetry-api                            1.44.0           pypi_0              pypi
opentelemetry-exporter-gcp-trace             1.15.0           pypi_0              pypi
opentelemetry-exporter-otlp                  1.44.0           pypi_0              pypi
opentelemetry-exporter-otlp-proto-common     1.44.0           pypi_0              pypi
opentelemetry-exporter-otlp-proto-grpc       1.44.0           pypi_0              pypi
opentelemetry-exporter-otlp-proto-http       1.44.0           pypi_0              pypi
opentelemetry-instrumentation                0.65b0           pypi_0              pypi
opentelemetry-instrumentation-asgi           0.65b0           pypi_0              pypi
opentelemetry-instrumentation-fastapi        0.65b0           pypi_0              pypi
opentelemetry-proto                          1.44.0           pypi_0              pypi
opentelemetry-resourcedetector-gcp           1.14.0           pypi_0              pypi
opentelemetry-sdk                            1.44.0           pypi_0              pypi
opentelemetry-semantic-conventions           0.65b0           pypi_0              pypi
opentelemetry-util-http                      0.65b0           pypi_0              pypi
opt-einsum                                   3.4.0            pypi_0              pypi
optype                                       0.18.0           pypi_0              pypi
orjson                                       3.12.0           pypi_0              pypi
ormsgpack                                    1.12.2           pypi_0              pypi
overrides                                    7.7.0            pypi_0              pypi
packaging                                    26.3             py313haa95532_0
pandas                                       2.3.3            pypi_0              pypi
pandas-gbq                                   0.35.2           pypi_0              pypi
pandas-stubs                                 3.0.5.260914     pypi_0              pypi
pandocfilters                                1.5.1            pypi_0              pypi
parameterized                                0.9.0            pypi_0              pypi
parso                                        0.8.7            pypi_0              pypi
pathspec                                     1.1.1            pypi_0              pypi
pdf2image                                    1.17.0           pypi_0              pypi
peewee                                       4.5.1            pypi_0              pypi
persist-queue                                1.1.0            pypi_0              pypi
pillow                                       12.3.0           pypi_0              pypi
pip                                          26.2.1           pyhc872135_0
pipdeptree                                   4.2.5            pypi_0              pypi
platformdirs                                 4.11.12          pypi_0              pypi
pluggy                                       1.6.0            pypi_0              pypi
plyfile                                      1.1.5            pypi_0              pypi
portalocker                                  4.4.0            pypi_0              pypi
posthog                                      7.58.0           pypi_0              pypi
primp                                        2.0.1            pypi_0              pypi
prometheus-client                            0.26.0           pypi_0              pypi
prompt-toolkit                               3.0.53           pypi_0              pypi
propcache                                    0.5.4            pypi_0              pypi
proto-plus                                   1.28.4           pypi_0              pypi
protobuf                                     6.33.6           pypi_0              pypi
psutil                                       7.2.2            pypi_0              pypi
pure-eval                                    0.2.4            pypi_0              pypi
puremagic                                    2.2.0            pypi_0              pypi
pyarrow                                      25.0.1           pypi_0              pypi
pyasn1                                       0.6.4            pypi_0              pypi
pyasn1-modules                               0.4.2            pypi_0              pypi
pybase64                                     1.5.0            pypi_0              pypi
pycodestyle                                  2.14.0           pypi_0              pypi
pycparser                                    3.0              pypi_0              pypi
pydantic                                     2.13.5           pypi_0              pypi
pydantic-core                                2.46.5           pypi_0              pypi
pydantic-settings                            2.15.0           pypi_0              pypi
pydata-google-auth                           1.9.1            pypi_0              pypi
pydeck                                       0.9.3            pypi_0              pypi
pyflakes                                     3.4.0            pypi_0              pypi
pygithub                                     2.10.0           pypi_0              pypi
pygments                                     2.21.0           pypi_0              pypi
pyjwt                                        2.14.0           pypi_0              pypi
pylance                                      12.0.0           pypi_0              pypi
pylucidio                                    2.4              pypi_0              pypi
pymage-size                                  1.7.1            pypi_0              pypi
pymodbustcp                                  0.3.0            pypi_0              pypi
pymupdf                                      1.28.2           pypi_0              pypi
pynacl                                       1.6.2            pypi_0              pypi
pyowm                                        3.5.0            pypi_0              pypi
pyparsing                                    3.3.3            pypi_0              pypi
pypdf                                        6.19.0           pypi_0              pypi
pypika                                       0.51.1           pypi_0              pypi
pyproject-hooks                              1.3.3            pypi_0              pypi
pyqtree                                      1.0.0            pypi_0              pypi
pyreadline3                                  3.5.6            pypi_0              pypi
pyright                                      1.1.414          pypi_0              pypi
pyserial                                     3.5              pypi_0              pypi
pysocks                                      1.7.1            pypi_0              pypi
pytest                                       9.1.1            pypi_0              pypi
python                                       3.13.15          h2e1fde4_102_cp313
python-dateutil                              2.9.0.post0      pypi_0              pypi
python-dotenv                                1.2.3            pypi_0              pypi
python-json-logger                           4.2.0            pypi_0              pypi
python-multipart                             0.0.32           pypi_0              pypi
python-ulid                                  4.0.1            pypi_0              pypi
python_abi                                   3.13             4_cp313
pythonnet                                    3.1.0            pypi_0              pypi
pytorch-lightning                            2.6.6            pypi_0              pypi
pytz                                         2026.3.post1     pypi_0              pypi
pywin32                                      312              pypi_0              pypi
pywinpty                                     3.0.5            pypi_0              pypi
pyyaml                                       6.0.3            pypi_0              pypi
pyzbar                                       0.1.9            pypi_0              pypi
pyzmq                                        27.2.0           pypi_0              pypi
qh3                                          2.0.3            pypi_0              pypi
qrcode                                       8.2              pypi_0              pypi
questionary                                  2.1.1            pypi_0              pypi
referencing                                  0.37.0           pypi_0              pypi
regex                                        2026.9.10        pypi_0              pypi
reportlab                                    5.0.1            pypi_0              pypi
requests                                     2.33.0           pypi_0              pypi
requests-oauthlib                            2.0.0            pypi_0              pypi
requests-toolbelt                            1.0.0            pypi_0              pypi
rfc3339-validator                            0.1.4            pypi_0              pypi
rfc3986-validator                            0.1.1            pypi_0              pypi
rfc3987-syntax                               1.1.0            pypi_0              pypi
rich                                         15.0.0           pypi_0              pypi
rpds-py                                      2026.6.3         pypi_0              pypi
rsa                                          4.9.1            pypi_0              pypi
ruff                                         0.16.8           pypi_0              pypi
safetensors                                  0.8.0            pypi_0              pypi
sam2                                         1.1.0            pypi_0              pypi
scikit-image                                 0.26.0           pypi_0              pypi
scikit-learn                                 1.9.1            pypi_0              pypi
scipy                                        1.18.1           pypi_0              pypi
scipy-stubs                                  1.18.1.1         pypi_0              pypi
segment-anything                             1.0              pypi_0              pypi
send2trash                                   2.1.0            pypi_0              pypi
sentence-transformers                        6.1.0            pypi_0              pypi
setuptools                                   78.1.0           pypi_0              pypi
shapely                                      2.1.2            pypi_0              pypi
shellingham                                  1.5.4            pypi_0              pypi
simsimd                                      6.5.16           pypi_0              pypi
six                                          1.17.0           pypi_0              pypi
smmap                                        5.0.3            pypi_0              pypi
snakeviz                                     2.2.2            pypi_0              pypi
sniffio                                      1.3.1            pypi_0              pypi
socksio                                      1.0.0            pypi_0              pypi
soupsieve                                    2.9.2            pypi_0              pypi
sqlalchemy                                   2.0.54           pypi_0              pypi
sqlalchemy-spanner                           1.20.1           pypi_0              pypi
sqlite                                       3.53.4           hee5a0db_0
sqlite-fts4                                  1.0.3            pypi_0              pypi
sqlite-migrate                               0.2              pypi_0              pypi
sqlite-utils                                 4.2.1            pypi_0              pypi
sqlparse                                     0.6.0            pypi_0              pypi
sse-starlette                                3.4.11           pypi_0              pypi
stack-data                                   0.6.3            pypi_0              pypi
starlette                                    1.6.0            pypi_0              pypi
streamlit                                    1.64.0           pypi_0              pypi
stringzilla                                  5.1.2            pypi_0              pypi
striprtf                                     0.0.26           pypi_0              pypi
sympy                                        1.14.0           pypi_0              pypi
tabulate                                     0.10.0           pypi_0              pypi
tbb                                          2023.1.0         pypi_0              pypi
tcmlib                                       1.5.0            pypi_0              pypi
tenacity                                     8.5.0            pypi_0              pypi
terminado                                    0.18.1           pypi_0              pypi
threadpoolctl                                3.7.0            pypi_0              pypi
tifffile                                     2026.9.20        pypi_0              pypi
tiktoken                                     0.14.0           pypi_0              pypi
timm                                         1.0.29           pypi_0              pypi
tinycss2                                     1.5.1            pypi_0              pypi
tinytag                                      2.3.2            pypi_0              pypi
tk                                           8.6.15           hf199647_0
tokenizers                                   0.23.2           pypi_0              pypi
toml                                         0.10.2           pypi_0              pypi
tomli                                        2.4.1            pypi_0              pypi
tomli-w                                      1.2.0            pypi_0              pypi
tomlkit                                      0.15.1           pypi_0              pypi
torch                                        2.11.0+cu128     pypi_0              pypi
torchaudio                                   2.11.0+cu130     pypi_0              pypi
torchmetrics                                 1.9.0            pypi_0              pypi
torchvision                                  0.26.0+cu128     pypi_0              pypi
tornado                                      6.5.10           pypi_0              pypi
tqdm                                         4.70.1           pypi_0              pypi
traitlets                                    5.16.1           pypi_0              pypi
transformers                                 5.17.0           pypi_0              pypi
truststore                                   0.10.4           pypi_0              pypi
typeguard                                    4.6.0            pypi_0              pypi
typer                                        0.27.2           pypi_0              pypi
typer-slim                                   0.24.0           pypi_0              pypi
types-python-dateutil                        2.9.0.20260807   pypi_0              pypi
typing-extensions                            4.16.0           pypi_0              pypi
typing-inspect                               0.9.0            pypi_0              pypi
typing-inspection                            0.4.4            pypi_0              pypi
tzdata                                       2026.4           pypi_0              pypi
tzlocal                                      5.4.4            pypi_0              pypi
ucrt                                         10.0.22621.0     haa95532_0
umf                                          1.1.0            pypi_0              pypi
uri-template                                 1.3.0            pypi_0              pypi
uritemplate                                  4.2.0            pypi_0              pypi
urllib3                                      2.7.0            pypi_0              pypi
urllib3-future                               2.25.900         pypi_0              pypi
uuid-utils                                   0.17.1           pypi_0              pypi
uvicorn                                      0.53.0           pypi_0              pypi
vc                                           14.3             h2df5915_12
vc14_runtime                                 14.44.35208      h4927774_12
vs2015_runtime                               14.44.35208      ha6b5a95_12
wassima                                      2.1.4            pypi_0              pypi
watchdog                                     6.0.0            pypi_0              pypi
watchfiles                                   1.3.0            pypi_0              pypi
wcwidth                                      0.8.4            pypi_0              pypi
webcolors                                    25.10.0          pypi_0              pypi
webencodings                                 0.6.1            pypi_0              pypi
websocket-client                             1.9.2            pypi_0              pypi
websockets                                   16.1.1           pypi_0              pypi
werkzeug                                     3.1.8            pypi_0              pypi
wheel                                        0.47.0           py313haa95532_0
wrapt                                        2.4.1            pypi_0              pypi
xlsxwriter                                   3.2.9            pypi_0              pypi
xxhash                                       4.0.1            pypi_0              pypi
xz                                           5.8.4            hb851c79_0
yarl                                         1.25.1           pypi_0              pypi
yfinance                                     1.7.0            pypi_0              pypi
yoctopuce                                    2.1.15681        pypi_0              pypi
zipp                                         4.1.0            pypi_0              pypi
zlib                                         1.3.2            h1c6eee0_0
zstandard                                    0.25.0           pypi_0              pypi
